containers,treat,loc,tt,Greasiness,Sliminess,Smell,Taste,Color
23,T2,3,1,1,3,0,4,3
2,T1,9,2,3,1,2,3,4
24,T1,11,3,2,1,2,4,4
18,T1,13,4,2,3,1,2,2
21,T3,29,5,0,1,4,4,2
26,T3,5,6,0,2,0,3,3
12,T4,18,7,0,0,0,2,2
25,T2,30,8,0,4,2,2,3
31,T3,8,9,1,1,0,4,3
10,T4,22,10,0,2,0,3,1
19,T3,15,11,1,2,0,4,3
9,T2,7,12,1,5,1,3,4
27,T4,10,13,0,1,0,2,2
22,T3,2,14,1,1,3,4,3
17,T2,25,15,1,4,3,2,3
6,T1,4,16,2,1,3,4,4
32,T1,19,17,4,3,3,3,3
30,T4,12,18,1,0,1,4,2
3,T1,16,19,4,4,3,1,3
8,T2,1,20,1,4,1,1,3
4,T1,20,21,3,1,3,4,3
7,T2,24,22,0,5,1,1,4
1,T1,21,23,4,2,3,3,4
29,T4,17,24,2,1,2,5,3
20,T4,27,25,1,1,2,4,2
15,T2,23,26,1,3,2,3,4
14,T3,14,27,1,1,4,5,2
13,T3,26,28,1,2,2,4,4
5,T2,31,29,1,5,1,1,4
11,T3,32,30,2,1,3,4,2
28,T4,28,31,1,1,3,4,2
16,T4,6,32,1,1,2,5,3
